sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.0,hybrid_frobenius,1,4,604.0,604.0,694.0,-1.9290398357912325e-16,,70.1345157623291,0.9721249474716347
0.0,oracle_compensation,1,4,719.0,722.0,730.0,1.0,-1.0,1.006138563156128,1.0225521781762152
0.0,static_budgeted,1,5,673.0,695.0,727.0,0.0,0.0,0.7147514820098877,1.0183499089508334
0.0,random_budgeted,1,5,693.0,717.0,725.0,0.0,0.0,0.5370569229125977,1.0155483961339122
0.0,hebbian_frobenius,1,5,648.0,648.0,708.0,,,97.07382607460022,0.9917355371900827
0.0,hybrid_frobenius,1,5,648.0,648.0,708.0,,,101.24868583679199,0.9917355371900827
0.0,oracle_compensation,1,5,700.0,723.0,730.0,1.0,-1.0,1.2153973579406738,1.0225521781762152
0.0,static_budgeted,1,6,682.0,692.0,715.0,0.0,0.0,0.7394735813140869,1.0015408320493067
0.0,random_budgeted,1,6,694.0,716.0,727.0,0.0,0.0,0.5565714836120605,1.0183499089508334
0.0,hebbian_frobenius,1,6,659.0,666.0,705.0,,,93.92804050445557,0.987533267964701
0.0,hybrid_frobenius,1,6,659.0,660.0,707.0,,,94.66315937042236,0.9903347807816221
0.0,oracle_compensation,1,6,701.0,727.0,731.0,1.0,-1.0,0.9584822654724121,1.0239529345846758
0.0,static_budgeted,1,7,694.0,695.0,711.0,0.0,0.0,0.7008824348449707,0.9959378064154644
0.0,random_budgeted,1,7,709.0,712.0,716.0,0.0,0.0,0.5856266021728516,1.0029415884577673
